,Boolean,IntegerList,StringList
395,Match is too short. Skipping.,,
396,False,"[266, 39, 895, 517, 497, 516, 147, 37, 950, 56]","['TOP', 'MIDDLE', 'BOTTOM', 'JUNGLE', 'UTILITY', 'TOP', 'BOTTOM', 'UTILITY', 'MIDDLE', 'JUNGLE']"
397,False,"[119, 79, 6, 50, 61, 516, 202, 99, 56, 147]","['BOTTOM', 'JUNGLE', 'TOP', 'UTILITY', 'MIDDLE', 'TOP', 'BOTTOM', 'MIDDLE', 'JUNGLE', 'UTILITY']"
398,False,"[150, 254, 101, 497, 50, 516, 120, 99, 81, 37]","['TOP', 'JUNGLE', 'MIDDLE', 'UTILITY', 'BOTTOM', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
399,False,"[14, 141, 246, 202, 40, 266, 120, 910, 222, 117]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
400,Match is too short. Skipping.,,
401,True,[],[]
402,False,[],[]
403,True,[],[]
404,True,"[17, 887, 21, 60, 92, 67, 48, 17, 267, 36]","['JUNGLE', 'TOP', 'BOTTOM', 'UTILITY', 'MIDDLE', 'BOTTOM', 'TOP', 'MIDDLE', 'UTILITY', 'JUNGLE']"
405,True,"[64, 76, 518, 145, 497, 25, 28, 7, 81, 89]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
406,Match is too short. Skipping.,,
407,Match is too short. Skipping.,,
408,Match is too short. Skipping.,,
409,Match is too short. Skipping.,,
410,Match is too short. Skipping.,,
411,Match is too short. Skipping.,,
412,Match is too short. Skipping.,,
413,Match is too short. Skipping.,,
414,Match is too short. Skipping.,,
415,Match is too short. Skipping.,,
416,Match is too short. Skipping.,,
417,Match is too short. Skipping.,,
418,Match is too short. Skipping.,,
419,Match is too short. Skipping.,,
420,Match is too short. Skipping.,,
421,Match is too short. Skipping.,,
422,Match is too short. Skipping.,,
423,Match is too short. Skipping.,,
424,Match is too short. Skipping.,,
425,Match is too short. Skipping.,,
426,Match is too short. Skipping.,,
427,Match is too short. Skipping.,,
428,Match is too short. Skipping.,,
429,Match is too short. Skipping.,,
430,Match is too short. Skipping.,,
431,Match is too short. Skipping.,,
432,Match is too short. Skipping.,,
433,Match is too short. Skipping.,,
434,Match is too short. Skipping.,,
435,Match is too short. Skipping.,,
436,Match is too short. Skipping.,,
437,Match is too short. Skipping.,,
438,Match is too short. Skipping.,,
439,Match is too short. Skipping.,,
440,Match is too short. Skipping.,,
441,Match is too short. Skipping.,,
442,Match is too short. Skipping.,,
443,Match is too short. Skipping.,,
444,Match is too short. Skipping.,,
445,Match is too short. Skipping.,,
446,Match is too short. Skipping.,,
447,True,"[39, 35, 134, 236, 902, 67, 254, 127, 222, 888]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
448,False,"[67, 110, 266, 63, 53, 245, 24, 80, 360, 111]","['TOP', 'BOTTOM', 'MIDDLE', 'JUNGLE', 'UTILITY', 'JUNGLE', 'TOP', 'MIDDLE', 'BOTTOM', 'UTILITY']"
449,False,"[266, 32, 4, 81, 43, 78, 121, 711, 51, 497]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
450,True,"[23, 131, 7, 21, 32, 92, 517, 238, 51, 101]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
451,True,"[266, 63, 54, 51, 14, 72, 34, 81, 350, 42]","['', '', '', '', '', '', '', '', '', '']"
452,True,"[254, 8, 21, 53, 222, 90, 11, 61, 42, 777]","['', '', '', '', '', '', '', '', '', '']"
453,False,"[26, 29, 115, 78, 31, 222, 63, 80, 25, 86]","['', '', '', '', '', '', '', '', '', '']"
454,True,"[112, 254, 221, 136, 54, 26, 110, 106, 53, 48]","['', '', '', '', '', '', '', '', '', '']"
455,True,"[897, 30, 101, 498, 111, 122, 427, 711, 236, 267]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
456,True,"[114, 254, 29, 81, 40, 79, 104, 950, 22, 99]","['TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY', 'TOP', 'JUNGLE', 'MIDDLE', 'BOTTOM', 'UTILITY']"
457,Match is too short. Skipping.,,
458,Match is too short. Skipping.,,
459,Match is too short. Skipping.,,
460,Match is too short. Skipping.,,
461,Match is too short. Skipping.,,
462,Match is too short. Skipping.,,
463,Match is too short. Skipping.,,
464,Match is too short. Skipping.,,
465,Match is too short. Skipping.,,
466,Match is too short. Skipping.,,
467,Match is too short. Skipping.,,
468,Match is too short. Skipping.,,
469,Match is too short. Skipping.,,
470,Match is too short. Skipping.,,
471,Match is too short. Skipping.,,
472,Match is too short. Skipping.,,
